id,code,name,region,source_risk,geometry,classification_status
0102001,UA01020010000048857,Андріївська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102003,UA01020030000085835,Ароматненська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102005,UA01020050000056842,Бахчисарайська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102007,UA01020070000057731,Верхньосадівська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102009,UA01020090000085519,Верхоріченська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102011,UA01020110000025392,Вілінська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102013,UA01020130000011846,Голубинська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102015,UA01020150000013553,Долинненська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102017,UA01020170000026113,Залізничненська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102019,UA01020190000077808,Зеленівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102021,UA01020210000031011,Інкерманська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102023,UA01020230000086125,Качинська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102025,UA01020250000083187,Каштанівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102027,UA01020270000095791,Красномацька територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102029,UA01020290000023695,Куйбишевська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102031,UA01020310000028500,Орлинівська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102033,UA01020330000026857,Піщанівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102035,UA01020350000012924,Плодівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102037,UA01020370000098913,Поштівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102039,UA01020390000023946,Скалистівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102041,UA01020410000012183,Табачненська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102043,UA01020430000077222,Тернівська територіальна громада,Автономна Республіка Крим,Непереборний,absent,valid
0102045,UA01020450000039196,Тінистівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0102047,UA01020470000045027,Углівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104001,UA01040010000012643,Ароматнівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104003,UA01040030000094499,Багатівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104005,UA01040050000043618,Білогірська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104007,UA01040070000067477,Василівська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104009,UA01040090000079381,Вишенська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104011,UA01040110000030475,Дрофинська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104013,UA01040130000027316,Желябовська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104015,UA01040150000027533,Жемчужинська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104017,UA01040170000015760,Зеленогірська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104019,UA01040190000020544,Земляничненська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104021,UA01040210000036434,Зибинська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
0104023,UA01040230000046436,Зоркінська територіальна громада,Автономна Республіка Крим,Непереборний,present,valid
